sce_id,syn_val,compile_val,vul,vul_uncompile
190-1,"['6', '1', '0', '20', '3', '19', '7', '26', '29', '9', '12', '2', '22', '11', '14', '27', '15', '13', '8', '18', '23', '25', '28', '16', '24', '5', '4', '21', '17', '10']","['6', '1', '0', '19', '7', '26', '29', '9', '12', '2', '22', '14', '15', '8', '18', '25', '16', '24', '5', '4', '21', '17', '10']","['1', '12', '14', '16', '18', '2', '22', '26', '4', '5']",['23']
787-2,"['8', '7', '4', '1', '26', '27', '11', '25', '14', '15', '23', '28', '22', '24', '18', '21', '12', '3', '10', '5', '20', '0', '2', '9', '16', '6', '13', '29', '17', '19']","['7', '27', '25', '14', '15', '23', '28', '22', '24', '10', '5', '20', '16', '17']",[],[]
119-2,"['14', '16', '26', '24', '3', '19', '4', '0', '2', '13', '23', '5', '21', '25', '11', '17', '15', '8', '7', '9', '29', '22', '18', '10', '6', '1', '27', '28', '12', '20']","['14', '16', '26', '24', '3', '19', '4', '0', '2', '13', '23', '5', '25', '11', '8', '7', '9', '29', '22', '18', '10', '6', '1', '27', '12', '20']","['18', '2', '29', '7']",[]
79-0,"['16', '25', '0', '14', '26', '28', '24', '3', '5', '12', '4', '9', '10', '17', '21', '6', '20', '27', '7', '22', '29', '11', '2', '8', '1', '19', '15', '13', '23', '18']","['16', '25', '14', '28', '24', '3', '5', '12', '4', '10', '17', '21', '6', '20', '27', '7', '22', '2', '8', '1', '19', '15', '13', '23', '18']","['20', '27', '28', '6', '8']",[]
416-0,"['29', '25', '27', '21', '19', '13', '23', '12', '1', '26', '6', '3', '15', '4', '8', '20', '9', '10', '0', '24', '11', '7', '14', '17', '16', '2', '5', '28', '18', '22']","['29', '25', '27', '19', '13', '23', '12', '1', '26', '6', '3', '15', '4', '8', '20', '0', '24', '11', '17', '16', '2', '5', '18', '22']",[],[]
20-0,"['11', '20', '28', '6', '21', '18', '23', '22', '9', '25', '10', '8', '12', '1', '29', '0', '24', '27', '16', '4', '7', '26', '14', '15', '17', '5', '2', '13', '3', '19']","['11', '20', '28', '6', '21', '18', '23', '22', '9', '25', '10', '8', '12', '1', '29', '0', '24', '16', '4', '7', '26', '14', '15', '17', '5', '2', '13', '19']","['0', '1', '13', '14', '15', '17', '19', '2', '20', '22', '7', '9']",[]
732-1,"['17', '6', '20', '1', '10', '21', '15', '26', '23', '16', '0', '2', '25', '19', '18', '5', '22', '28', '29', '12', '4', '27', '8', '11', '3', '7', '24', '14', '9', '13']","['20', '10', '21', '15', '23', '12', '27', '14', '9']",['27'],['5']
22-0,"['16', '15', '5', '0', '8', '9', '4', '27', '20', '23', '26', '1', '12', '24', '6', '13', '21', '14', '22', '28', '19', '25', '2', '17', '18', '3', '29', '10', '7', '11']","['16', '15', '0', '8', '9', '4', '27', '20', '23', '26', '1', '12', '24', '6', '13', '21', '22', '28', '19', '25', '2', '3', '29', '10', '7', '11']","['0', '1', '10', '12', '13', '16', '21', '24', '25', '29']","['17', '5']"
79-2,"['21', '26', '28', '29', '27', '24', '5', '1', '18', '20', '17', '23', '7', '4', '0', '22', '10', '16', '13', '9', '14', '19', '3', '6', '11', '2', '15', '8', '25', '12']","['21', '28', '29', '1', '7', '4', '0', '16', '13', '3', '2', '15', '12']","['0', '2']",['17']
78-1,"['17', '7', '15', '27', '29', '23', '26', '21', '22', '3', '9', '19', '18', '8', '10', '12', '6', '16', '2', '14', '13', '28', '11', '4', '24', '0', '1', '20', '25', '5']","['17', '7', '15', '27', '29', '23', '21', '22', '9', '14', '28', '11', '24', '1']","['14', '17', '28', '29']","['5', '6']"
732-0,"['8', '20', '21', '16', '13', '4', '9', '15', '7', '12', '22', '25', '23', '3', '5', '17', '29', '11', '6', '19', '14', '1', '26', '24', '2', '10', '18', '0', '28', '27']","['8', '5', '14', '26', '18']","['14', '26', '8']","['22', '23']"
